trade_code,,,,
005033,YHZNQCLHGPFQSA,银华智能汽车量化股票发起式A,股票型,YINHUAZHINENGQICHELIANGHUAGUPIAOFAQISHIA
005034,YHZNQCLHGPFQSC,银华智能汽车量化股票发起式C,股票型,YINHUAZHINENGQICHELIANGHUAGUPIAOFAQISHIC
005035,YHXXKJLHGPFQSA,银华信息科技量化股票发起式A,股票型,YINHUAXINXIKEJILIANGHUAGUPIAOFAQISHIA
005036,YHXXKJLHGPFQSC,银华信息科技量化股票发起式C,股票型,YINHUAXINXIKEJILIANGHUAGUPIAOFAQISHIC
005037,YHXNYXCLA,银华新能源新材料A,股票型,YINHUAXINNENGYUANXINCAILIAOA
005038,YHXNYXCLC,银华新能源新材料C,股票型,YINHUAXINNENGYUANXINCAILIAOC
005039,PYJXHHA,鹏扬景兴混合A,混合型,PENGYANGJINGXINGHUNHEA
005040,PYJXHHC,鹏扬景兴混合C,混合型,PENGYANGJINGXINGHUNHEC
005041,RBYJJXHHA,人保研究精选混合A,混合型,RENBAOYANJIUJINGXUANHUNHEA
005042,RBYJJXHHC,人保研究精选混合C,混合型,RENBAOYANJIUJINGXUANHUNHEC
005043,GSABJKKXHHA,国寿安保健康科学混合A,混合型,GUOSHOUANBAOJIANKANGKEXUEHUNHEA
005044,GSABJKKXHHC,国寿安保健康科学混合C,混合型,GUOSHOUANBAOJIANKANGKEXUEHUNHEC
005047,NHRYHHA,南华瑞颐混合A,混合型,NANHUARUIYIHUNHEA
005048,NHRYHHC,南华瑞颐混合C,混合型,NANHUARUIYIHUNHEC
005049,CAXWJZHHA,长安鑫旺价值混合A,混合型,CHANGANXINWANGJIAZHIHUNHEA
005050,CAXWJZHHC,长安鑫旺价值混合C,混合型,CHANGANXINWANGJIAZHIHUNHEC
005051,STBPGGTDBHLZSA,上投标普港股通低波红利指数A,股票指数,SHANGTOUBIAOPUGANGGUTONGDIBOHONGLIZHISHUA
005052,STBPGGTDBHLZSC,上投标普港股通低波红利指数C,股票指数,SHANGTOUBIAOPUGANGGUTONGDIBOHONGLIZHISHUC
005053,YHLHJZHH,银河量化价值混合,混合型,YINHELIANGHUAJIAZHIHUNHE
005054,TKRKCZZQ,泰康瑞坤纯债债券,债券型,TAIKANGRUIKUNCHUNZHAIZHAIQUAN
005055,HTBRLHAEF,华泰柏瑞量化阿尔法,混合型,HUATAIBAIRUILIANGHUAAERFA
005056,DFHHBA,东方红货币A,货币型,DONGFANGHONGHUOBIA
005057,DFHHBB,东方红货币B,货币型,DONGFANGHONGHUOBIB
005058,DFHHBE,东方红货币E,货币型,DONGFANGHONGHUOBIE
005059,NFAFHH,南方安福混合,混合型,NANFANGANFUHUNHE
005061,NYYYDKHH,农银永益定开混合,混合型,NONGYINYONGYIDINGKAIHUNHE
005062,BSZZ500ZSZQA,博时中证500指数增强A,股票指数,BOSHIZHONGZHENG500ZHISHUZENGQIANGA
